Vled(V),Iled(A),Vled_err,Iled_err(A)
0.01129032258064516,0.0,0.003421484425096197,0.0
0.3564516129032258,0.0,0.005702474041826991,0.0
0.7274193548387096,7.331378299120235e-06,0.0034214844250961864,5.184067310751814e-06
1.0919354838709676,0.0,0.0011404948083654609,0.0
1.4516129032258065,0.0,0.0022809896167308432,0.0
1.8516129032258064,0.0,0.020528906550577278,0.0
2.169354838709677,0.0,0.012545442892019443,0.0
2.458064516129032,0.00036656891495601173,0.011404948083653981,7.25769423505254e-05
2.5016129032258063,0.0018108504398826979,0.003421484425096226,1.5552201932255405e-05
2.5274193548387096,0.00250733137829912,0.010264453275288677,2.0736269243007256e-05
