Vled(V),Iled(A),Vled_err,Iled_err(A)
0.02096774193548387,0.0,0.0011404948083653997,0.0
0.3225806451612903,3.665689149560117e-05,0.018247916933846395,2.592033655375907e-05
0.7193548387096773,1.466275659824047e-05,0.0022809896167308046,1.0368134621503628e-05
1.0887096774193548,0.0,0.003421484425096226,0.0
1.4596774193548385,7.331378299120235e-06,0.007983463658557833,5.184067310751814e-06
1.8209677419354837,0.0,0.005702474041826991,0.0
2.1854838709677415,0.0,0.003421484425096226,0.0
2.4419354838709673,0.000498533724340176,0.0,0.0
2.4806451612903224,0.001781524926686217,0.025090885784038727,2.5920336553759033e-05
2.525806451612903,0.00251466275659824,0.0022809896167307647,5.184067310752006e-06
